id,tipo,subtipo,etapa,desarrollador,nombre,area_m2,unidades_hab,estado,aÃ±o_asignacion,aÃ±o_entrega,propietario,observaciones,Coordenadas X,Coordenadas Y,Pilar
04-12-01,Comercial,COMERCIAL,,,,4364.19,,,,,,,421929.59,2046080.34,Economía
04-12-02,Institucional,COMERCIAL,,,,7258.71,,,,,,,421839.84,2045897.94,Medio Ambiente
04-12-03,Institucional,DEFENSA,,,,,,,,,,,421980.89,2046066.29,Seguridad
04-12-04,Habitacional,HABITACIONAL,,,,3051.55,,,,,,,421839.84,2045897.94,Viviendas
04-12-05,Habitacional,HABITACIONAL,,,,25787.79,,,,,,,421834.53,2045887.27,Viviendas
04-13-01,Institucional,VERDE,,,,51039.61,,,,,,,422209.72,2046168.28,Medio Ambiente
04-13-02,Institucional,PARQUEO PUBLICO,,,,,,,,,,,421864.45,2045585.04,
04-13-03,Habitacional,HABITACIONAL,,,,44869.75,,,,,,,421806.83,2045418.99,Viviendas
04-39-01,Habitacional,COMERCIAL,,,,22719.85,,,,,,,421652.56,2045506.38,Viviendas
04-39-02,Comercial,INSTITUCIONAL BARRIAL,,,,11310.92,,,,,,,421729.51,2045467.32,Economía
04-39-03,Institucional,CENTRO RELIGIOSO,,,,,,,,,,,421729.51,2045467.32,Cultural
04-39-04,Habitacional,HABITACIONAL,,,,,,,,,,,421792.83,2045395.93,Viviendas
05-19-01,Habitacional,HABITACIONAL,,,,35073.2,,,,,,,421292.23,2045246.13,Viviendas
05-19-02,Comercial,VERDE,,,,2562,,,,,,,421208.23,2045045.61,Economía
05-19-03,Institucional,COMERCIAL,,,,1184.08,,,,,,,421260.73,2045093.36,Medio Ambiente
05-19-04,Comercial,COMERCIAL,,,,12955.31,,,,,,,421225.97,2044995.76,Economía
05-19-05,Comercial,CENTRO DE ATENCION A LA MUJER,,,,8368.46,,,,,,,421404.42,2044947.95,Economía
05-19-06,Comercial,EDUCACIONAL,,,,11617,,,,,,,421535.43,2044954.04,Economía
05-19-07,Habitacional,HABITACIONAL,,,,71506.36,,,,,,,421292.23,2045246.13,Viviendas
05-17-01,Institucional,LICEO OISOE,,,,9321.96,,,,,,,420855.4,2045594.74,Educación
05-17-02,Comercial,COMERCIAL,,,,2167.66,,,,,,,420817.15,2045480.77,Economía
05-17-03,Habitacional,HABITACIONAL,,,,38656.58,,,,,,,421297.11,2045414.19,Viviendas
05-17-04,Comercial,COMERCIAL,,,,1211.98,,,,,,,420975.92,2045407.29,Economía
05-18-01,Habitacional,HABITACIONAL,,,,75736.18,,,,,,,421126.34,2045283.21,Viviendas
05-18-02,Institucional,VERDE,,,,586.35,,,,,,,420938.4,2045376.83,Medio Ambiente
05-18-03,Institucional,CENTRO RELIGIOSO,,,,599.9,,,,,,,420956.31,2045367.91,Cultural
05-18-04,Institucional,CENTRO DE ATENCION PARA PERSONA ENV,,,,8446.96,,,,,,,421206.89,2045243.08,Salud
05-18-05,Comercial,COMERCIAL,,,,1188.1,,,,,,,421206.89,2045243.08,Economía
05-18-06,Institucional,VERDE,,,,1000.25,,,,,,,421193.5,2045216.23,Medio Ambiente
05-18-07,Comercial,COMERCIAL,,,,2145.84,,,,,,,421194.19,2045128,Economía
05-18-08,Comercial,COMERCIAL,,,,2965.55,,,,,,,421158.4,2045145.85,Economía
05-20-01,Habitacional,HABITACIONAL,,,,37793.15,,,,,,,421003.85,2045072.94,Viviendas
05-20-02,Comercial,COMERCIAL,,,,1200.18,,,,,,,421017.31,2045099.76,Economía
05-20-03,Institucional,CENTRO DE ATENCION PARA PERSONAS DIS,,,,9353.24,,,,,,,421089.18,2045064.61,Salud
05-20-04,Institucional,HOSPITAL ,,,,6451.15,,,,,,,421054.57,2044995.68,Salud
05-20-05,no esta,N/A,,,,,,,,,,,N/A,N/A,
05-20-06,no esta,N/A,,,,,,,,,,,N/A,N/A,
05-20-07,Institucional,ESTANCIA INFANTIL,,,,3656.77,,,,,,,420843.06,2044987.02,Educación
05-20-08,Institucional,ESCUELA BID,,,,11138.23,,,,,,,420906.03,2044950.79,Educación
00-21-01,Institucional,CENTRO CAPACITACION,,,,9937.95,,,,,,,420891.16,2044876.54,Educación
00-21-02,Institucional,VERDE,,,,2364.62,,,,,,,420945.83,2044860.57,Medio Ambiente
08-22-01,Habitacional,CONSTRUCTORA BISONO,,,,102140.77,,,,,,,420733.02,2044591.53,Viviendas
08-22-02,Comercial,COMERCIAL,,,,988.63,,,,,,,420471.45,2044815.34,Economía
08-22-03,Institucional,AREA VERDE,,,,1020.89,,,,,,,420496.45,2044815.72,Medio Ambiente
08-22-04,Institucional,LICEO OISOE,,,,8470.96,,,,,,,420722.61,2044811.1,Educación
08-22-05,Institucional,AREA VERDE,,,,1050.63,,,,,,,420728.28,2044691.43,Medio Ambiente
08-22-06,Institucional,CENTRO RELIGIOSO,,,,,,,,,,,420729.7,2044661.45,Cultural
08-22-07,Institucional,CENTRO ATENCION PRIMARIA,,,,,,,,,,,420731.12,2044631.48,Salud
08-23-01,Habitacional,CONSORCIO ANTILLANO,,,,29073.46,,,,,,,420876,2044815.54,Viviendas
08-23-02,Habitacional,CONSORCIO FUTURO,,,,31629.38,,,,,,,420953.83,2044509.98,Viviendas
08-23-03,Institucional,INST. BARRIAL,,,,1049.93,,,,,,,420750.26,2044692.4,0
08-23-04,Comercial,COMERCIAL,,,,3500.17,,,,,,,420789.25,2044609.15,Economía
00-24-01,Institucional,VERDE,,,,19620.65,,,,,,,421079.53,2044825.83,Medio Ambiente
00-24-02,Institucional,VERDE,,,,8495.48,,,,,,,420925.1,2044709.05,Medio Ambiente
00-24-03,Institucional,VERDE,,,,10671.18,,,,,,,421051.89,2044646.21,Medio Ambiente
06-25-01,Habitacional,HABITACIONAL,,,,29909.38,,,,,,,421204.56,2044684.36,Viviendas
06-25-02,Habitacional,HABITACIONAL,,,,30566.21,,,,,,,421244.26,2044586.12,Viviendas
06-25-03,Comercial,COMERCIAL,,,,3500.27,,,,,,,421239.53,2044686.01,Economía
06-25-04,Institucional,INSTITUCIONAL BARRIAL,,,,1050.11,,,,,,,421238.1,2044715.98,0
06-26-01,Habitacional,HABITACIONAL,,,,99884.04,,,,,,,421522.76,2044856.29,Viviendas
06-26-02,Institucional,EDUCACIONAL,,,,8343.9,,,,,,,421320,2044846.87,Educación
06-26-03,Institucional,VERDE,,,,2275.46,,,,,,,421295.04,2044718.68,Medio Ambiente
06-26-04,Institucional,CENTRO RELIGIOSO,,,,2275.46,,,,,,,421296.7,2044683.71,Cultural
09-27-01,Habitacional,CONSORCIO AG-KSI,,,,86841.29,,,,,,,420743.7,2044366.12,Viviendas
09-27-02,Institucional,VERDE,,,,3500.24,,,,,,,420750.58,2044221.1,Educación
09-27-03,Institucional,EDUCACIONAL MINERD,,,,8564.53,,,,,,,420752.94,2044171.16,Educación
09-28-01,Habitacional,CONSORCIO TEAM DOMINICANO ESPAÑOL,,,,17093.92,,,,,,,420953.25,2044312.5,Viviendas
09-28-02,Habitacional,INGENIEROS CONSTRUCTORES MODERNOS,,,,15335.02,,,,,,,420961.57,2044275.15,Viviendas
09-28-03,Comercial,COMERCIAL,,,,2099.87,,,,,,,420804.01,2044297.71,Economía
09-28-04,Institucional,CENTRO RELIGIOSO,,,,1224.98,,,,,,,420807.8,2044217.8,Cultural
09-28-05,Institucional,AREA VERDE,,,,1388.86,,,,,,,420808.51,2044202.82,Medio Ambiente
00-29-01,Institucional,INSTITUCIONAL,,,,23378.77,,,,,,,420957.74,2044476.77,Medio Ambiente
07-30-01,Habitacional,HABITACIONAL,,,,17626.36,,,,,,,421253.54,2044390.19,Viviendas
07-30-02,Habitacional,HABITACIONAL,,,,15860.48,,,,,,,421229.06,2044272.81,Viviendas
07-30-03,Comercial,INSTITUCIONAL BARRIAL,,,,900.22,,,,,,,421229.07,2044272.81,Economía
07-30-04,Comercial,COMERCIAL,,,,2018.2,,,,,,,421259.03,2044274.23,Economía
07-31-01,Habitacional,VIVIENDAS,,,,59513.68,,,,,,,421551.16,2044196.22,Viviendas
07-31-02,Habitacional,ATENCIÓN PRIMARIA,,,,2284.13,,,,,,,421279.59,2044305.24,Viviendas
07-31-03,Institucional,CENTRO RELIGIOSO,,,,0,,,,,,,421310.97,2044276.7,Salud
07-31-04,Institucional,VERDE,,,,1049.93,,,,,,,421312.63,2044241.74,Medio Ambiente
07-31-05,Institucional,EDUCACION,,,,8650.01,,,,,,,421349.78,2044208.46,Educación
07-31-06,Institucional,VERDE,,,,3058.15,,,,,,,421551.16,2044196.22,Medio Ambiente
07-32-01,Habitacional,HABITACIONAL,,,,,,,,,,,420941.44,2044145.73,Viviendas
07-32-02,Comercial,COMERCIAL,,,,,,,,,,,420919.34,2044003.63,Economía
07-32-03,Habitacional,HABITACIONAL,,,,,,,,,,,420822.04,2044022.95,Viviendas
07-32-04,Comercial,COMERCIAL,,,,,,,,,,,420538.18,2044009.45,Economía
00-33-01,Comercial,COMERCIAL,,,,4255.13,,,,,,,421012.28,2044216.56,Economía
00-33-02,Institucional,VERDE,,,,1779.22,,,,,,,421022.08,2044220.89,Medio Ambiente
00-33-03,Comercial,COMERCIAL,,,,4234.68,,,,,,,421047.23,2044272.44,Economía
00-34-01,Institucional,VERDE,,,,1287.17,,,,,,,421005.18,2044161.74,Medio Ambiente
00-34-02,Institucional,VERDE,,,,6883.2,,,,,,,421036.51,2044133.25,Medio Ambiente
00-34-03,Institucional,VERDE,,,,1272.03,,,,,,,421074.49,2044165.02,Medio Ambiente
00-34-04,Comercial,COMERCIAL,,,,9658.4,,,,,,,421006.54,2044131.86,Economía
00-34-05,Comercial,COMERCIAL,,,,9624.69,,,,,,,421082.01,2044135.36,Economía
07-35-01,Habitacional,HABITACIONAL,,,,18277.92,,,,,,,421264.41,2044160.75,Viviendas
07-35-02,Comercial,COMERCIAL,,,,8118.54,,,,,,,421269.67,2044044.24,Economía
07-35-03,Comercial,TERMINAL DE AUTOBUS,,,,5337.05,,,,,,,421357.81,2044048.44,Economía
07-35-04,Institucional,TANQUE DE AGUA,,,,3245.29,,,,,,,421412.75,2044051.05,Servicios Básicos
07-35-05,Institucional,POLICIA,,,,1455.02,,,,,,,421437.72,2044052.24,Seguridad
07-35-06,Institucional,VERDE,,,,4139.24,,,,,,,421477.68,2044054.14,Medio Ambiente
07-35-07,Institucional,BOMBEROS,,,,2301.38,,,,,,,421477.68,2044054.14,Seguridad
10-36-01,Institucional,PYMES,,,,250000.46,,,,,,,419974.29,2045368.91,Economía
10-36-02,Institucional,CENTRO MATERIALES RECICLABLES,,,,,,,,,,,419778.78,2045420.17,Medio Ambiente
10-36-03,Institucional,CENTRO TRANSFERENCIA DE DESECHOS SOL,,,,,,,,,,,419841.66,2045403.68,Medio Ambiente
10-36-04,Comercial,CENTRO PIEZAS AUTOMOTRIZ,,,,,,,,,,,419904.53,2045387.2,Economía
10-36-05,Comercial,CENTRO DE DISTRIBUCION,,,,,,,,,,,419974.29,2045368.91,Economía
10-37-01,Comercial,MERCADO MUNICIPAL,,,,,,,,,,,420070.22,2045685.01,Economía
10-38-01,Institucional,ESTACION DE BOMBEROS,,,,,,,,,,,420129.7,2045835.38,Seguridad
10-38-02,Institucional,DESTACAMENTO POLICIAL,,,,,,,,,,,420217.24,2045806.22,Seguridad
10-38-03,Institucional,PYMES,,,,,,,,,,,420094.78,2045781.57,Economía
10-38-04,Institucional,ATENCIÓN PRIMARIA,,,,,,,,,,,420060.59,2045346.28,Salud
10-38-05,Institucional,ESTACION INFANTIL,,,,,,,,,,,420157.55,2045320.85,Cultural
10-38-06,Institucional,CENTRO RELIGIOSO,,,,,,,,,,,420216.71,2045305.34,Cultural
02-06-10,Institucional,TELECOMUNICACIONES,,,,,,,,,,,,,Servicios Básicos
03-09-10,Institucional,TELECOMUNICACIONES,,,,,,,,,,,,,Servicios Básicos
04-11-07,Institucional,TELECOMUNICACIONES,,,,412.31,,,,,,,,,Servicios Básicos
07-30-05,Institucional,TELECOMUNICACIONES,,,,675.65,,,,,,,,,Servicios Básicos
03-09-11,Institucional,TELECOMUNICACIONES,,,,,,,,,,,,,Servicios Básicos
03-08-06,Institucional,TELECOMUNICACIONES,,,,,,,,,,,,,Servicios Básicos
09-32-06,Institucional,TELECOMUNICACIONES,,,,829.15,,,,,,,,,Servicios Básicos
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
